ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Eid,Eid_lower,Eid_upper,IsAirshow,IsAirshow_lower,IsAirshow_upper,IsDSF,IsDSF_lower,IsDSF_upper,IsEid,IsEid_lower,IsEid_upper,IsFoodFestival,IsFoodFestival_lower,IsFoodFestival_upper,IsGITEX,IsGITEX_lower,IsGITEX_upper,IsLast10Ramadan,IsLast10Ramadan_lower,IsLast10Ramadan_upper,IsMarathon,IsMarathon_lower,IsMarathon_upper,IsNationalDay,IsNationalDay_lower,IsNationalDay_upper,IsNewYear,IsNewYear_lower,IsNewYear_upper,IsPostEvent,IsPostEvent_lower,IsPostEvent_upper,IsPostRamadan,IsPostRamadan_lower,IsPostRamadan_upper,IsPreEvent,IsPreEvent_lower,IsPreEvent_upper,IsPreRamadan,IsPreRamadan_lower,IsPreRamadan_upper,IsRamadan,IsRamadan_lower,IsRamadan_upper,IsSummerEvent,IsSummerEvent_lower,IsSummerEvent_upper,Ramadan,Ramadan_lower,Ramadan_upper,RevenueImpact,RevenueImpact_lower,RevenueImpact_upper,TourismIntensity,TourismIntensity_lower,TourismIntensity_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-11-08,1285.8698400920023,-531.3612726801309,1269.4775027128605,1285.8698400920023,1285.8698400920023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-837.8541913746161,-837.8541913746161,-837.8541913746161,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,-115.70183081959642,-115.70183081959642,-115.70183081959642,-659.626487069701,-659.626487069701,-659.626487069701,0.0,0.0,0.0,448.01564871738617
2023-11-09,1288.7140930171645,-347.96071960761526,1467.2343820234987,1288.7140930171645,1288.7140930171645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-740.6366299187612,-740.6366299187612,-740.6366299187612,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,-39.61242984438545,-39.61242984438545,-39.61242984438545,-638.498326589057,-638.498326589057,-638.498326589057,0.0,0.0,0.0,548.0774630984033
2023-11-10,1291.5583459423265,-169.70444368221828,1567.4502451533428,1291.5583459423265,1291.5583459423265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-609.4157720889934,-609.4157720889934,-609.4157720889934,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,71.04566608157947,71.04566608157947,71.04566608157947,-617.9355646852542,-617.9355646852542,-617.9355646852542,0.0,0.0,0.0,682.142573853333
2023-11-11,1294.4025988674885,-182.0276872458694,1603.6821041637766,1294.4025988674885,1294.4025988674885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-561.98642233768,-561.98642233768,-561.98642233768,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,98.81273093354189,98.81273093354189,98.81273093354189,-598.2732797859031,-598.2732797859031,-598.2732797859031,0.0,0.0,0.0,732.4161765298085
2023-11-12,1297.2468517926504,4.133034035264169,1775.473983875626,1297.2468517926504,1297.2468517926504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-434.34391199721006,-434.34391199721006,-434.34391199721006,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,208.02672985640123,208.02672985640123,208.02672985640123,-579.8447683682928,-579.8447683682928,-579.8447683682928,0.0,0.0,0.0,862.9029397954404
2023-11-13,1300.0911047178126,-216.69864352996933,1445.1763342038553,1300.0911047178126,1300.0911047178126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-687.6807604746665,-687.6807604746665,-687.6807604746665,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,-62.18228141273623,-62.18228141273623,-62.18228141273623,-562.9726055766116,-562.9726055766116,-562.9726055766116,0.0,0.0,0.0,612.4103442431461
2023-11-14,1302.9353576429746,-376.73237588816204,1374.2178242090852,1302.9353576429746,1302.9353576429746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-770.8736120612399,-770.8736120612399,-770.8736120612399,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,-160.38858479476622,-160.38858479476622,-160.38858479476622,-547.959153781155,-547.959153781155,-547.959153781155,0.0,0.0,0.0,532.0617455817347
2023-11-15,1305.7796105681368,-320.8571240996269,1432.3409239641371,1305.7796105681368,1305.7796105681368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-713.3044828716239,-713.3044828716239,-713.3044828716239,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,-115.70183081991932,-115.70183081991932,-115.70183081991932,-535.076778566386,-535.076778566386,-535.076778566386,0.0,0.0,0.0,592.4751276965129
2023-11-16,1308.6238634932988,-179.68668837715745,1547.6285049431162,1308.6238634932988,1308.6238634932988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-626.6963591743183,-626.6963591743183,-626.6963591743183,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,-39.61242984440866,-39.61242984440866,-39.61242984440866,-524.5580558445911,-524.5580558445911,-524.5580558445911,0.0,0.0,0.0,681.9275043189805
2023-11-17,1311.4681164184608,-77.38276912578928,1682.8288189134623,1311.4681164184608,1311.4681164184608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-508.06647743397605,-508.06647743397605,-508.06647743397605,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,71.04566608148022,71.04566608148022,71.04566608148022,-516.5862700301378,-516.5862700301378,-516.5862700301378,0.0,0.0,0.0,803.4016389844847
2023-11-18,1314.3123693436228,-76.57030643411778,1754.2476824733817,1314.3123693436228,1314.3123693436228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-474.9996532890135,-474.9996532890135,-474.9996532890135,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,98.81273093360569,98.81273093360569,98.81273093360569,-511.2865107373007,-511.2865107373007,-511.2865107373007,0.0,0.0,0.0,839.3127160546093
2023-11-19,1317.1566222687848,82.59540106358888,1845.894538234682,1317.1566222687848,1317.1566222687848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-363.21681737942646,-363.21681737942646,-363.21681737942646,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,208.026729856389,208.026729856389,208.026729856389,-508.717673750497,-508.717673750497,-508.717673750497,0.0,0.0,0.0,953.9398048893584
2023-11-20,1320.000875193947,-191.0321594945691,1511.010019479183,1320.000875193947,1320.000875193947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-633.5738157384912,-633.5738157384912,-633.5738157384912,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,-62.1822814121275,-62.1822814121275,-62.1822814121275,-508.8656608410452,-508.8656608410452,-508.8656608410452,0.0,0.0,0.0,686.4270594554557
2023-11-21,1322.845128119109,-233.59988032361275,1507.5141068188104,1322.845128119109,1322.845128119109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-734.5525106712064,-734.5525106712064,-734.5525106712064,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,-160.3885847948607,-160.3885847948607,-160.3885847948607,-511.63805239102714,-511.63805239102714,-511.63805239102714,0.0,0.0,0.0,588.2926174479026
2023-11-22,1325.689381044271,-240.163586459054,1516.392649168734,1325.689381044271,1325.689381044271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-695.0882013888694,-695.0882013888694,-695.0882013888694,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,-115.7018308197562,-115.7018308197562,-115.7018308197562,-516.8604970837945,-516.8604970837945,-516.8604970837945,0.0,0.0,0.0,630.6011796554016
2023-11-23,1328.3736747190248,-186.94711049115557,1578.9843814944315,1328.3736747190248,1328.3736747190248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-626.413328056652,-626.413328056652,-626.413328056652,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,-39.612429844137054,-39.612429844137054,-39.612429844137054,-524.2750247271964,-524.2750247271964,-524.2750247271964,0.0,0.0,0.0,701.9603466623729
2023-11-24,1331.0579683937788,-119.49778263596349,1662.789628765752,1331.0579683937788,1331.0579683937788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.934596044427213,-25.934596044427213,-25.934596044427213,-36.591277440891304,-36.591277440891304,-36.591277440891304,-525.0206498948353,-525.0206498948353,-525.0206498948353,-62.52587348531853,-62.52587348531853,-62.52587348531853,0.0,0.0,0.0,71.04566608178554,71.04566608178554,71.04566608178554,-533.5404424913022,-533.5404424913022,-533.5404424913022,0.0,0.0,0.0,806.0373184989435
