Date,RevenueCenterName,MealPeriod,CheckTotal
2023-03-20,RevenueCenter_1,Breakfast,356.0
2023-03-20,RevenueCenter_1,Dinner,3182.0
2023-03-20,RevenueCenter_1,Lunch,252.0
2023-03-21,RevenueCenter_1,Breakfast,449.0
2023-03-21,RevenueCenter_1,Dinner,1855.0
2023-03-21,RevenueCenter_1,Lunch,325.0
2023-03-22,RevenueCenter_1,Breakfast,244.0
2023-03-22,RevenueCenter_1,Dinner,2154.0
2023-03-22,RevenueCenter_1,Lunch,1267.0
2023-03-23,RevenueCenter_1,Breakfast,536.0
2023-03-23,RevenueCenter_1,Dinner,2598.0
2023-03-23,RevenueCenter_1,Lunch,268.0
2023-03-24,RevenueCenter_1,Breakfast,344.0
2023-03-24,RevenueCenter_1,Dinner,1580.0
2023-03-24,RevenueCenter_1,Lunch,310.0
2023-03-25,RevenueCenter_1,Breakfast,100.0
2023-03-25,RevenueCenter_1,Dinner,1319.0
2023-03-25,RevenueCenter_1,Lunch,375.0
2023-03-26,RevenueCenter_1,Breakfast,604.0
2023-03-26,RevenueCenter_1,Dinner,1374.0
2023-03-26,RevenueCenter_1,Lunch,539.0
2023-03-27,RevenueCenter_1,Breakfast,262.0
2023-03-27,RevenueCenter_1,Dinner,1131.0
2023-03-27,RevenueCenter_1,Lunch,371.0
2023-03-28,RevenueCenter_1,Breakfast,519.0
2023-03-28,RevenueCenter_1,Dinner,1767.0
2023-03-28,RevenueCenter_1,Lunch,339.0
2023-03-29,RevenueCenter_1,Breakfast,305.0
2023-03-29,RevenueCenter_1,Dinner,748.0
2023-03-29,RevenueCenter_1,Lunch,190.0
2023-03-30,RevenueCenter_1,Breakfast,92.0
2023-03-30,RevenueCenter_1,Dinner,1161.5
2023-03-30,RevenueCenter_1,Lunch,535.7166666666667
2023-03-31,RevenueCenter_1,Breakfast,160.0
2023-03-31,RevenueCenter_1,Dinner,1642.0
2023-03-31,RevenueCenter_1,Lunch,341.0
2023-04-01,RevenueCenter_1,Breakfast,407.0
2023-04-01,RevenueCenter_1,Dinner,479.0
2023-04-01,RevenueCenter_1,Lunch,543.475
2023-04-02,RevenueCenter_1,Breakfast,297.0
2023-04-02,RevenueCenter_1,Dinner,1384.0
2023-04-02,RevenueCenter_1,Lunch,390.0
2023-04-03,RevenueCenter_1,Breakfast,386.76666666666665
2023-04-03,RevenueCenter_1,Dinner,1890.5
2023-04-03,RevenueCenter_1,Lunch,429.0
2023-04-04,RevenueCenter_1,Breakfast,45.0
2023-04-04,RevenueCenter_1,Dinner,1224.0
2023-04-04,RevenueCenter_1,Lunch,499.0
2023-04-05,RevenueCenter_1,Breakfast,266.0
2023-04-05,RevenueCenter_1,Dinner,1321.0
2023-04-05,RevenueCenter_1,Lunch,1647.0
2023-04-06,RevenueCenter_1,Breakfast,1094.0
2023-04-06,RevenueCenter_1,Dinner,1858.0
2023-04-06,RevenueCenter_1,Lunch,703.0
2023-04-07,RevenueCenter_1,Breakfast,554.0
2023-04-07,RevenueCenter_1,Dinner,2188.5
2023-04-07,RevenueCenter_1,Lunch,1223.0
2023-04-08,RevenueCenter_1,Breakfast,414.0
2023-04-08,RevenueCenter_1,Dinner,636.0
2023-04-08,RevenueCenter_1,Lunch,605.0
2023-04-09,RevenueCenter_1,Breakfast,101.0
2023-04-09,RevenueCenter_1,Dinner,1853.0
2023-04-09,RevenueCenter_1,Lunch,339.0
2023-04-10,RevenueCenter_1,Breakfast,857.0
2023-04-10,RevenueCenter_1,Dinner,2563.5
2023-04-10,RevenueCenter_1,Lunch,1658.0
2023-04-11,RevenueCenter_1,Breakfast,114.0
2023-04-11,RevenueCenter_1,Dinner,365.5
2023-04-11,RevenueCenter_1,Lunch,970.0
2023-04-12,RevenueCenter_1,Breakfast,248.0
2023-04-12,RevenueCenter_1,Dinner,1099.0
2023-04-12,RevenueCenter_1,Lunch,579.0
2023-04-13,RevenueCenter_1,Breakfast,782.0
2023-04-13,RevenueCenter_1,Dinner,1391.5
2023-04-13,RevenueCenter_1,Lunch,302.5
2023-04-14,RevenueCenter_1,Breakfast,557.0
2023-04-14,RevenueCenter_1,Dinner,436.0
2023-04-14,RevenueCenter_1,Lunch,711.75
2023-04-15,RevenueCenter_1,Breakfast,580.0
2023-04-15,RevenueCenter_1,Dinner,1337.0
2023-04-15,RevenueCenter_1,Lunch,85.0
2023-04-16,RevenueCenter_1,Breakfast,251.0
2023-04-16,RevenueCenter_1,Dinner,1929.5
2023-04-16,RevenueCenter_1,Lunch,140.0
2023-04-17,RevenueCenter_1,Breakfast,436.0
2023-04-17,RevenueCenter_1,Dinner,1175.0
2023-04-17,RevenueCenter_1,Lunch,599.0
2023-04-18,RevenueCenter_1,Breakfast,364.0
2023-04-18,RevenueCenter_1,Dinner,1843.5
2023-04-18,RevenueCenter_1,Lunch,234.0
2023-04-19,RevenueCenter_1,Breakfast,324.0
2023-04-19,RevenueCenter_1,Dinner,1780.0
2023-04-19,RevenueCenter_1,Lunch,415.0
2023-04-20,RevenueCenter_1,Breakfast,753.0
2023-04-20,RevenueCenter_1,Dinner,3090.0
2023-04-20,RevenueCenter_1,Lunch,235.0
2023-04-21,RevenueCenter_1,Breakfast,408.0
2023-04-21,RevenueCenter_1,Dinner,2223.0
2023-04-21,RevenueCenter_1,Lunch,204.0
2023-04-22,RevenueCenter_1,Breakfast,544.0
2023-04-22,RevenueCenter_1,Dinner,3381.0
2023-04-22,RevenueCenter_1,Lunch,237.0
2023-04-23,RevenueCenter_1,Breakfast,518.0
2023-04-23,RevenueCenter_1,Dinner,2107.0
2023-04-23,RevenueCenter_1,Lunch,597.0
2023-04-24,RevenueCenter_1,Breakfast,1381.0
2023-04-24,RevenueCenter_1,Dinner,2465.0
2023-04-24,RevenueCenter_1,Lunch,995.0
2023-04-25,RevenueCenter_1,Breakfast,1355.25
2023-04-25,RevenueCenter_1,Dinner,5089.0
2023-04-25,RevenueCenter_1,Lunch,523.0
2023-04-26,RevenueCenter_1,Breakfast,492.0
2023-04-26,RevenueCenter_1,Dinner,2940.0
2023-04-26,RevenueCenter_1,Lunch,740.0
2023-04-27,RevenueCenter_1,Breakfast,1340.0
2023-04-27,RevenueCenter_1,Dinner,4883.0
2023-04-27,RevenueCenter_1,Lunch,1345.0
2023-04-28,RevenueCenter_1,Breakfast,1238.75
2023-04-28,RevenueCenter_1,Dinner,2828.0
2023-04-28,RevenueCenter_1,Lunch,264.0
2023-04-29,RevenueCenter_1,Breakfast,1059.5
2023-04-29,RevenueCenter_1,Dinner,2706.0
2023-04-29,RevenueCenter_1,Lunch,382.0
2023-04-30,RevenueCenter_1,Breakfast,649.0
2023-04-30,RevenueCenter_1,Dinner,3242.0
2023-04-30,RevenueCenter_1,Lunch,450.0
2023-05-01,RevenueCenter_1,Breakfast,497.0
2023-05-01,RevenueCenter_1,Dinner,1182.0
2023-05-01,RevenueCenter_1,Lunch,40.0
2023-05-02,RevenueCenter_1,Breakfast,247.9
2023-05-02,RevenueCenter_1,Dinner,2688.5
2023-05-02,RevenueCenter_1,Lunch,430.0
2023-05-03,RevenueCenter_1,Breakfast,477.9
2023-05-03,RevenueCenter_1,Dinner,1379.0
2023-05-03,RevenueCenter_1,Lunch,55.0
2023-05-04,RevenueCenter_1,Breakfast,554.0
2023-05-04,RevenueCenter_1,Dinner,2907.0
2023-05-04,RevenueCenter_1,Lunch,639.0
2023-05-05,RevenueCenter_1,Breakfast,337.0
2023-05-05,RevenueCenter_1,Dinner,2104.75
2023-05-05,RevenueCenter_1,Lunch,676.0
2023-05-06,RevenueCenter_1,Breakfast,981.0
2023-05-06,RevenueCenter_1,Dinner,953.5
2023-05-06,RevenueCenter_1,Lunch,743.0
2023-05-07,RevenueCenter_1,Breakfast,702.5
2023-05-07,RevenueCenter_1,Dinner,3071.0
2023-05-07,RevenueCenter_1,Lunch,108.0
2023-05-08,RevenueCenter_1,Breakfast,1199.0
2023-05-08,RevenueCenter_1,Dinner,3662.5
2023-05-08,RevenueCenter_1,Lunch,316.0
2023-05-09,RevenueCenter_1,Breakfast,244.0
2023-05-09,RevenueCenter_1,Dinner,3249.0
2023-05-09,RevenueCenter_1,Lunch,899.0
2023-05-10,RevenueCenter_1,Breakfast,362.0
2023-05-10,RevenueCenter_1,Dinner,2664.5
2023-05-10,RevenueCenter_1,Lunch,420.0
2023-05-11,RevenueCenter_1,Breakfast,648.0
2023-05-11,RevenueCenter_1,Dinner,2341.0
2023-05-11,RevenueCenter_1,Lunch,626.0
2023-05-12,RevenueCenter_1,Breakfast,812.0
2023-05-12,RevenueCenter_1,Dinner,2505.0
2023-05-12,RevenueCenter_1,Lunch,353.0
2023-05-13,RevenueCenter_1,Breakfast,303.0
2023-05-13,RevenueCenter_1,Dinner,2667.5
2023-05-13,RevenueCenter_1,Lunch,619.0
2023-05-14,RevenueCenter_1,Breakfast,522.0
2023-05-14,RevenueCenter_1,Dinner,2310.0
2023-05-14,RevenueCenter_1,Lunch,630.9
2023-05-15,RevenueCenter_1,Breakfast,1574.0
2023-05-15,RevenueCenter_1,Dinner,2294.9
2023-05-15,RevenueCenter_1,Lunch,364.0
2023-05-16,RevenueCenter_1,Breakfast,322.9
2023-05-16,RevenueCenter_1,Dinner,4976.0
2023-05-16,RevenueCenter_1,Lunch,616.0
2023-05-17,RevenueCenter_1,Breakfast,1451.0
2023-05-17,RevenueCenter_1,Dinner,2361.0
2023-05-17,RevenueCenter_1,Lunch,472.0
2023-05-18,RevenueCenter_1,Breakfast,114.0
2023-05-18,RevenueCenter_1,Dinner,2945.5
2023-05-18,RevenueCenter_1,Lunch,190.0
2023-05-19,RevenueCenter_1,Breakfast,746.0
2023-05-19,RevenueCenter_1,Dinner,1102.5
2023-05-19,RevenueCenter_1,Lunch,598.0
2023-05-20,RevenueCenter_1,Breakfast,635.0
2023-05-20,RevenueCenter_1,Dinner,1838.0
2023-05-20,RevenueCenter_1,Lunch,750.0
2023-05-21,RevenueCenter_1,Breakfast,154.0
2023-05-21,RevenueCenter_1,Dinner,1268.0
2023-05-21,RevenueCenter_1,Lunch,303.0
2023-05-22,RevenueCenter_1,Breakfast,690.0
2023-05-22,RevenueCenter_1,Dinner,1920.0
2023-05-22,RevenueCenter_1,Lunch,739.0
2023-05-23,RevenueCenter_1,Breakfast,1289.0
2023-05-23,RevenueCenter_1,Dinner,2431.0
2023-05-23,RevenueCenter_1,Lunch,183.0
2023-05-24,RevenueCenter_1,Breakfast,276.0
2023-05-24,RevenueCenter_1,Dinner,2028.0
2023-05-24,RevenueCenter_1,Lunch,641.0
2023-05-25,RevenueCenter_1,Breakfast,718.0
2023-05-25,RevenueCenter_1,Dinner,2135.0
2023-05-25,RevenueCenter_1,Lunch,575.0
2023-05-26,RevenueCenter_1,Breakfast,928.0
2023-05-26,RevenueCenter_1,Dinner,1703.0
2023-05-26,RevenueCenter_1,Lunch,40.0
2023-05-27,RevenueCenter_1,Breakfast,409.0
2023-05-27,RevenueCenter_1,Dinner,1189.0
2023-05-27,RevenueCenter_1,Lunch,287.5
2023-05-28,RevenueCenter_1,Breakfast,1116.0
2023-05-28,RevenueCenter_1,Dinner,1198.0
2023-05-28,RevenueCenter_1,Lunch,187.0
2023-05-29,RevenueCenter_1,Breakfast,366.0
2023-05-29,RevenueCenter_1,Dinner,1905.5
2023-05-29,RevenueCenter_1,Lunch,691.0
2023-05-30,RevenueCenter_1,Breakfast,915.0
2023-05-30,RevenueCenter_1,Dinner,3977.5
2023-05-30,RevenueCenter_1,Lunch,796.0
2023-05-31,RevenueCenter_1,Breakfast,1055.0
2023-05-31,RevenueCenter_1,Dinner,1914.0
2023-05-31,RevenueCenter_1,Lunch,1110.0
2023-06-01,RevenueCenter_1,Breakfast,827.0
2023-06-01,RevenueCenter_1,Dinner,3296.0
2023-06-01,RevenueCenter_1,Lunch,236.5
2023-06-02,RevenueCenter_1,Breakfast,176.0
2023-06-02,RevenueCenter_1,Dinner,2026.0
2023-06-02,RevenueCenter_1,Lunch,782.0
2023-06-03,RevenueCenter_1,Breakfast,682.0
2023-06-03,RevenueCenter_1,Dinner,1797.0
2023-06-03,RevenueCenter_1,Lunch,598.0
2023-06-04,RevenueCenter_1,Breakfast,879.0
2023-06-04,RevenueCenter_1,Dinner,1697.5
2023-06-04,RevenueCenter_1,Lunch,960.0
2023-06-05,RevenueCenter_1,Breakfast,964.0
2023-06-05,RevenueCenter_1,Dinner,1434.0
2023-06-05,RevenueCenter_1,Lunch,377.0
2023-06-06,RevenueCenter_1,Breakfast,875.0
2023-06-06,RevenueCenter_1,Dinner,1905.0
2023-06-06,RevenueCenter_1,Lunch,632.0
2023-06-07,RevenueCenter_1,Breakfast,406.0
2023-06-07,RevenueCenter_1,Dinner,3526.5
2023-06-07,RevenueCenter_1,Lunch,460.0
2023-06-08,RevenueCenter_1,Breakfast,372.0
2023-06-08,RevenueCenter_1,Dinner,3886.5
2023-06-08,RevenueCenter_1,Lunch,677.0
2023-06-09,RevenueCenter_1,Breakfast,773.0
2023-06-09,RevenueCenter_1,Dinner,2106.0
2023-06-09,RevenueCenter_1,Lunch,552.0
2023-06-10,RevenueCenter_1,Breakfast,147.0
2023-06-10,RevenueCenter_1,Dinner,2300.0
