Date,MealPeriod,CheckTotal,RevenueCenterName,MealPeriod_num,Year,Month,DayOfWeek,IslamicPeriod_num,IsNewYear,IsPreRamadan,IsPreEvent,IsLast10Ramadan,is_zero,IsSummerEvent,IsMarathon,IsFoodFestival,IsDSF,IsRamadan,RevenueCenter
2023-02-07,Dinner,17.0,RevenueCenter_7,1,2023,2,1,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-07,Lunch,100.0,RevenueCenter_7,2,2023,2,1,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-08,Breakfast,54.0,RevenueCenter_7,0,2023,2,2,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-08,Dinner,250.0,RevenueCenter_7,1,2023,2,2,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-08,Lunch,0.0,RevenueCenter_7,2,2023,2,2,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-09,Breakfast,0.0,RevenueCenter_7,0,2023,2,3,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-09,Dinner,128.0,RevenueCenter_7,1,2023,2,3,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-09,Lunch,20.0,RevenueCenter_7,2,2023,2,3,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-10,Breakfast,138.0,RevenueCenter_7,0,2023,2,4,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-10,Dinner,126.0,RevenueCenter_7,1,2023,2,4,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-10,Lunch,9.0,RevenueCenter_7,2,2023,2,4,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-11,Breakfast,34.0,RevenueCenter_7,0,2023,2,5,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-11,Dinner,32.0,RevenueCenter_7,1,2023,2,5,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-11,Lunch,0.0,RevenueCenter_7,2,2023,2,5,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-12,Breakfast,0.0,RevenueCenter_7,0,2023,2,6,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-12,Dinner,32.0,RevenueCenter_7,1,2023,2,6,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-12,Lunch,18.0,RevenueCenter_7,2,2023,2,6,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-13,Breakfast,0.0,RevenueCenter_7,0,2023,2,0,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-13,Dinner,43.0,RevenueCenter_7,1,2023,2,0,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-13,Lunch,0.0,RevenueCenter_7,2,2023,2,0,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-14,Breakfast,54.0,RevenueCenter_7,0,2023,2,1,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-14,Dinner,22.0,RevenueCenter_7,1,2023,2,1,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-14,Lunch,74.0,RevenueCenter_7,2,2023,2,1,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-15,Breakfast,0.0,RevenueCenter_7,0,2023,2,2,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-15,Dinner,41.0,RevenueCenter_7,1,2023,2,2,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-15,Lunch,0.0,RevenueCenter_7,2,2023,2,2,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-16,Breakfast,71.0,RevenueCenter_7,0,2023,2,3,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-16,Dinner,0.0,RevenueCenter_7,1,2023,2,3,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-16,Lunch,0.0,RevenueCenter_7,2,2023,2,3,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-17,Breakfast,188.0,RevenueCenter_7,0,2023,2,4,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-17,Dinner,0.0,RevenueCenter_7,1,2023,2,4,9,0,0,0,0,1,0,0,0,0,0,7
2023-02-17,Lunch,18.0,RevenueCenter_7,2,2023,2,4,9,0,0,0,0,0,0,0,0,0,0,7
2023-02-18,Breakfast,0.0,RevenueCenter_7,0,2023,2,5,22,0,0,1,0,1,0,0,1,0,0,7
2023-02-18,Dinner,79.0,RevenueCenter_7,1,2023,2,5,22,0,0,1,0,0,0,0,1,0,0,7
2023-02-18,Lunch,12.0,RevenueCenter_7,2,2023,2,5,22,0,0,1,0,0,0,0,1,0,0,7
2023-02-19,Breakfast,0.0,RevenueCenter_7,0,2023,2,6,22,0,0,1,0,1,0,0,1,0,0,7
2023-02-19,Dinner,148.0,RevenueCenter_7,1,2023,2,6,22,0,0,1,0,0,0,0,1,0,0,7
2023-02-19,Lunch,0.0,RevenueCenter_7,2,2023,2,6,22,0,0,1,0,1,0,0,1,0,0,7
2023-02-20,Breakfast,0.0,RevenueCenter_7,0,2023,2,0,22,0,0,1,0,1,0,0,1,0,0,7
2023-02-20,Dinner,57.0,RevenueCenter_7,1,2023,2,0,22,0,0,1,0,0,0,0,1,0,0,7
2023-02-20,Lunch,0.0,RevenueCenter_7,2,2023,2,0,22,0,0,1,0,1,0,0,1,0,0,7
2023-02-21,Breakfast,120.0,RevenueCenter_7,0,2023,2,1,22,0,0,1,0,0,0,0,1,0,0,7
2023-02-21,Dinner,12.0,RevenueCenter_7,1,2023,2,1,22,0,0,1,0,0,0,0,1,0,0,7
2023-02-21,Lunch,9.0,RevenueCenter_7,2,2023,2,1,22,0,0,1,0,0,0,0,1,0,0,7
2023-02-22,Breakfast,104.0,RevenueCenter_7,0,2023,2,2,22,0,0,1,0,0,0,0,1,0,0,7
2023-02-22,Dinner,88.0,RevenueCenter_7,1,2023,2,2,22,0,0,1,0,0,0,0,1,0,0,7
2023-02-22,Lunch,0.0,RevenueCenter_7,2,2023,2,2,22,0,0,1,0,1,0,0,1,0,0,7
2023-02-23,Breakfast,84.0,RevenueCenter_7,0,2023,2,3,1,0,0,0,0,0,0,0,1,0,0,7
2023-02-23,Dinner,28.0,RevenueCenter_7,1,2023,2,3,1,0,0,0,0,0,0,0,1,0,0,7
2023-02-23,Lunch,0.0,RevenueCenter_7,2,2023,2,3,1,0,0,0,0,1,0,0,1,0,0,7
2023-02-24,Breakfast,160.0,RevenueCenter_7,0,2023,2,4,1,0,0,0,0,0,0,0,1,0,0,7
2023-02-24,Dinner,12.0,RevenueCenter_7,1,2023,2,4,1,0,0,0,0,0,0,0,1,0,0,7
2023-02-24,Lunch,75.0,RevenueCenter_7,2,2023,2,4,1,0,0,0,0,0,0,0,1,0,0,7
2023-02-25,Breakfast,46.0,RevenueCenter_7,0,2023,2,5,1,0,0,0,0,0,0,0,1,0,0,7
2023-02-25,Dinner,52.0,RevenueCenter_7,1,2023,2,5,1,0,0,0,0,0,0,0,1,0,0,7
2023-02-25,Lunch,0.0,RevenueCenter_7,2,2023,2,5,1,0,0,0,0,1,0,0,1,0,0,7
2023-02-26,Breakfast,66.0,RevenueCenter_7,0,2023,2,6,1,0,0,0,0,0,0,0,1,0,0,7
2023-02-26,Dinner,197.0,RevenueCenter_7,1,2023,2,6,1,0,0,0,0,0,0,0,1,0,0,7
2023-02-26,Lunch,41.0,RevenueCenter_7,2,2023,2,6,1,0,0,0,0,0,0,0,1,0,0,7
2023-02-27,Breakfast,0.0,RevenueCenter_7,0,2023,2,0,1,0,0,0,0,1,0,0,1,0,0,7
2023-02-27,Dinner,40.0,RevenueCenter_7,1,2023,2,0,1,0,0,0,0,0,0,0,1,0,0,7
2023-02-27,Lunch,25.0,RevenueCenter_7,2,2023,2,0,1,0,0,0,0,0,0,0,1,0,0,7
2023-02-28,Breakfast,32.0,RevenueCenter_7,0,2023,2,1,1,0,0,0,0,0,0,0,1,0,0,7
2023-02-28,Dinner,100.0,RevenueCenter_7,1,2023,2,1,1,0,0,0,0,0,0,0,1,0,0,7
2023-02-28,Lunch,70.0,RevenueCenter_7,2,2023,2,1,1,0,0,0,0,0,0,0,1,0,0,7
2023-03-01,Breakfast,5.0,RevenueCenter_7,0,2023,3,2,1,0,0,0,0,0,0,0,1,0,0,7
2023-03-01,Dinner,200.0,RevenueCenter_7,1,2023,3,2,1,0,0,0,0,0,0,0,1,0,0,7
2023-03-01,Lunch,0.0,RevenueCenter_7,2,2023,3,2,1,0,0,0,0,1,0,0,1,0,0,7
2023-03-02,Breakfast,61.0,RevenueCenter_7,0,2023,3,3,27,0,1,1,0,0,0,0,0,0,1,7
